,POI Total,POI Lifestyle,POI Business/Residential,POI Food/Beverage,Charge Count,zone_mean_pred,zone_mean_actual
1102,-0.013062124,0.037997503,-9.179875E-05,-0.010984899,0.027587725,0.44336507,0.41533166
1104,0.037762124,0.005163072,0.014652605,0.009020978,0.043783385,0.50415385,0.51711786
1106,-0.030466229,0.00019875706,-0.004734426,-0.023087347,-0.046090215,0.23036525,0.1604299
1107,-0.0042459266,-0.003159942,0.0012265103,0.0004182233,-0.021967858,0.29686338,0.20302534
1109,-0.0034526037,-0.00871365,0.014713509,-0.01972667,0.004735405,0.33908963,0.4300951
1110,-0.018362822,-0.02775932,-0.0033255275,0.0011054337,-0.0041034324,0.25741073,0.21815355
1111,0.0025496176,-0.020161228,0.018548986,-0.0018407207,0.008033302,0.34806705,0.47482845
1112,-0.014370334,-0.008585386,0.018084582,-0.0075809564,-0.043789018,0.25560424,0.12175437
1113,-0.023740945,-0.04178642,-0.018895583,0.0051786895,-0.0031679338,0.23868492,0.2660559
1114,-0.018886384,-0.02103601,-0.0130407475,-0.046043348,-0.013703072,0.22324441,0.18174109
1115,-0.0024488028,-0.021354564,-0.016510785,0.021781757,-0.00088152185,0.32510203,0.42322877
1119,0.00025429676,0.029308414,-0.021583945,-0.0117407795,0.00046478654,0.35468876,0.40705135
1120,-0.031082215,-0.0017115646,-0.03545963,-0.014876661,-0.002096704,0.2099732,0.17927082
1121,0.0018790313,0.0658213,-0.009069131,0.0040235445,0.025874134,0.47802743,0.55636907
1124,0.006968983,0.06614488,-0.02806324,-0.0065397825,0.0075555425,0.39348057,0.5575841
1125,-0.031784497,-0.007355802,-0.036147766,-0.001522785,-0.038354754,0.22089817,0.11942634
1126,-0.0011222705,0.017783724,0.027228076,0.016240133,0.012465048,0.43379682,0.38676515
1130,-0.036897916,-0.0066783424,0.003024077,-0.019568842,-0.039634675,0.23437376,0.36464968
1134,-0.0018872642,0.019436523,0.01760517,0.035602238,0.015662909,0.4565092,0.31468037
